complete.dyad	id	child.adult	sex	box	rando.order	trial	model	comb.detail 	comb.sum	action 	side	time.aoi	time.screen
1	4	1	1	1	1	4	Anna	NC1-PI2		NC1	2	7	91
1	4	1	1	1	1	5	Hanna	NC1-NC2		NC2	1	0	0
1	4	1	1	1	1	5	Hanna	NC1-NC2		NC1	2	0	0
1	4	1	1	1	1	6	Anna	PI1-NC2		PI1	1	3	92
1	4	1	1	1	1	6	Anna	PI1-NC2		NC2	2	89	92
1	4	1	1	1	1	7	Han	PI1-NC1		PI1	1	114	114
1	4	1	1	1	1	7	Han	PI1-NC1		NC1	2	0	114
1	4	1	1	1	1	8	Anna	PI1-NC2		NC2	1	78	92
1	4	1	1	1	1	8	Anna	PI1-NC2		PI1	2	13	92
1	4	1	1	1	1	9	Han	R1-NC1		NC1	1	4	145
1	4	1	1	1	1	9	Han	R1-NC1		R1	2	141	145
1	4	1	1	1	1	10	Anna	R1-PI2		PI2	1	0	3
1	4	1	1	1	1	10	Anna	R1-PI2		R1	2	3	3
1	4	1	1	1	1	11	Han	R1-NC1		R1	1	66	184
1	4	1	1	1	1	11	Han	R1-NC1		NC1	2	113	184
1	4	1	1	1	1	12	Anna	R1-PI2		R1	1	22	146
1	4	1	1	1	1	12	Anna	R1-PI2		PI2	2	120	146
1	4	1	1	1	1	13	Trinh	R1-R2		R1	1	0	139
1	4	1	1	1	1	13	Trinh	R1-R2		R2	2	121	139
1	4	1	1	1	1	14	Han	R2-PI2		R2	1	0	146
1	4	1	1	1	1	14	Han	R2-PI2		PI2	2	143	146
1	4	1	1	1	1	15	Trinh	R1-R2		R2	1	0	128
1	4	1	1	1	1	15	Trinh	R1-R2		R1	2	108	128
1	4	1	1	1	1	16	Anna	NC1-PI2		NC1	1	69	166
