time	a	b
115	4004	4254
67	4004	4254
119	4625	4874
53	4625	4874
53	5255	5505
112	5255	5505
69	5885	6069
88	5885	6069
107	6376	6626
77	6376	6626
92	7229	7479
66	7229	7479
203	7845	8095
14	7845	8095
57	8418	8676
135	8418	8676
53	9009	9266
87	9009	9266
158	9624	9875
21	9624	9875
131	10251	10501
51	10251	10501
132	10888	11137
68	10888	11137
156	11493	11743
58	11493	11743
119	12112	12362
65	12112	12362
60	12779	13028
108	12779	13028
154	13639	13924
60	13639	13924
111	14304	14554
89	14304	14554
123	14943	15193
70	14943	15193
56	15567	15823
79	15567	15823
70	16191	16440
85	16191	16440
130	16810	17059
26	16810	17059
133	17496	17746
66	17496	17746
143	18185	18434
60	18185	18434
93	18866	19116
52	18866	19116
76	437	687
125	437	687
171	1071	1321
60	1071	1321
56	1723	1973
139	1723	1973
67	2332	2583
176	2332	2583
192	2970	3220
40	2970	3220
194	3597	3845
23	3597	3845
119	4261	4510
101	4261	4510
99	4880	5128
113	4880	5128
18	5498	5765
197	5498	5765
69	6181	6429
159	6181	6429
197	6788	7038
0	6788	7038
240	7465	7714
0	7465	7714
154	8106	8356
69	8106	8356
44	8722	8970
111	8722	8970
34	9345	9595
200	9345	9595
81	9957	10208
152	9957	10208
204	10585	10836
35	10585	10836
22	11245	11493
213	11245	11493
153	11898	12148
69	11898	12148
97	12527	12777
128	12527	12777
31	13174	13422
197	13174	13422
96	13819	14068
130	13819	14068
35	14483	14731
197	14483	14731
17	15121	15372
183	15121	15372
24	15750	15999
211	15750	15999
16	16358	16608
223	16358	16608
76	16983	17231
148	16983	17231
41	17604	17800
128	17604	17800
179	18174	18423
38	18174	18423
2	18793	19042
224	18793	19042
133	303	551
93	303	551
30	944	1193
199	944	1193
33	1578	1827
176	1578	1827
14	2195	2444
200	2195	2444
222	2825	3073
0	2825	3073
156	3456	3706
46	3456	3706
132	4079	4327
66	4079	4327
46	4710	4958
84	4710	4958
0	5336	5584
230	5336	5584
30	5966	6214
189	5966	6214
11	6581	6829
215	6581	6829
23	7213	7462
209	7213	7462
153	7836	8087
47	7836	8087
77	8495	8746
125	8495	8746
40	9149	9266
46	9149	9266
203	9636	9891
0	9636	9891
53	10263	10513
179	10263	10513
205	10887	11136
27	10887	11136
33	11551	11806
179	11551	11806
113	12163	12414
105	12163	12414
0	12851	13101
157	12851	13101
131	13487	13742
47	13487	13742
109	14156	14412
97	14156	14412
33	14798	15053
212	14798	15053
49	15514	15765
166	15514	15765
236	16143	16391
0	16143	16391
90	16752	17001
135	16752	17001
22	17375	17625
218	17375	17625
182	17984	18235
37	17984	18235
183	18612	18867
51	18612	18867
123	379	627
100	379	627
128	1033	1288
104	1033	1288
60	1691	1940
166	1691	1940
214	2328	2577
0	2328	2577
202	2944	3194
13	2944	3194
94	3570	3819
133	3570	3819
44	4185	4435
188	4185	4435
237	4815	5067
0	4815	5067
192	5433	5683
34	5433	5683
225	6113	6363
12	6113	6363
71	6749	6998
158	6749	6998
112	7516	7764
122	7516	7764
131	8147	8395
99	8147	8395
179	8805	9056
55	8805	9056
22	9442	9698
201	9442	9698
98	10089	10339
115	10089	10339
179	10727	10977
5	10727	10977
38	11391	11639
71	11391	11639
113	12014	12265
99	12014	12265
162	12646	12896
32	12646	12896
136	13594	13845
92	13594	13845
63	14237	14485
151	14237	14485
149	14930	15115
0	14930	15115
41	15511	15761
175	15511	15761
24	16145	16395
211	16145	16395
13	16783	17033
206	16783	17033
138	17402	17652
69	17402	17652
116	18052	18301
96	18052	18301
38	18685	18935
184	18685	18935
133	19303	19552
42	19303	19552
86	305	554
137	305	554
157	914	1164
68	914	1164
0	1548	1797
234	1548	1797
103	2247	2496
126	2247	2496
135	2864	3114
97	2864	3114
92	3481	3731
142	3481	3731
129	4112	4362
108	4112	4362
135	4710	4960
90	4710	4960
75	5445	5695
146	5445	5695
52	6052	6302
178	6052	6302
72	7010	7259
162	7010	7259
123	7615	7864
103	7615	7864
59	8277	8527
164	8277	8527
106	8878	9128
119	8878	9128
191	9484	9734
45	9484	9734
157	10088	10337
72	10088	10337
40	10727	10977
194	10727	10977
55	11374	11624
175	11374	11624
111	12000	12249
121	12000	12249
39	12651	12901
170	12651	12901
81	13260	13511
141	13260	13511
86	13879	14129
131	13879	14129
37	14538	14787
201	14538	14787
120	15303	15553
121	15303	15553
76	16058	16307
142	16058	16307
33	16685	16934
193	16685	16934
60	17301	17553
167	17301	17553
109	18131	18324
66	18131	18324
78	18691	18940
157	18691	18940
47	19343	19592
185	19343	19592
174	414	664
52	414	664
134	1113	1363
81	1113	1363
86	1725	1975
138	1725	1975
88	2341	2591
128	2341	2591
182	2943	3192
46	2943	3192
127	3557	3807
105	3557	3807
175	4175	4424
41	4175	4424
177	4786	5041
54	4786	5041
80	5415	5665
144	5415	5665
24	6041	6290
206	6041	6290
27	6643	6893
205	6643	6893
33	7276	7527
188	7276	7527
0	7885	8135
239	7885	8135
94	8573	8853
166	8573	8853
0	9220	9336
108	9220	9336
44	9705	9955
190	9705	9955
0	10321	10571
238	10321	10571
67	10932	11183
153	10932	11183
0	11541	11791
239	11541	11791
135	12174	12429
96	12174	12429
204	12804	13053
27	12804	13053
0	13434	13684
240	13434	13684
118	14099	14349
80	14099	14349
111	14731	14981
110	14731	14981
79	15362	15612
150	15362	15612
70	15974	16224
163	15974	16224
121	16606	16855
120	16606	16855
71	17241	17497
154	17241	17497
73	17890	18140
152	17890	18140
36	18508	18757
198	18508	18757
199	311	561
25	311	561
140	935	1190
79	935	1190
96	1558	1825
142	1558	1825
131	2414	2663
89	2414	2663
157	3022	3271
77	3022	3271
84	4071	4320
135	4071	4320
93	4680	4929
129	4680	4929
141	5284	5535
86	5284	5535
185	5907	6159
47	5907	6159
143	6691	6943
89	6691	6943
114	7298	7549
121	7298	7549
141	7968	8220
88	7968	8220
132	8605	8854
96	8605	8854
72	9210	9459
147	9210	9459
127	9862	10112
102	9862	10112
90	10459	10709
135	10459	10709
77	11443	11698
149	11443	11698
96	12058	12308
136	12058	12308
160	12671	12920
64	12671	12920
62	13278	13527
171	13278	13527
0	13888	14137
230	13888	14137
147	14491	14741
75	14491	14741
65	15147	15331
94	15147	15331
114	15771	16021
122	15771	16021
67	16399	16648
168	16399	16648
55	17021	17270
188	17021	17270
36	17634	17883
207	17634	17883
16	18236	18487
216	18236	18487
89	18848	19097
143	18848	19097
140	19493	19747
89	19493	19747
105	355	603
101	355	603
89	989	1238
127	989	1238
76	1597	1845
114	1597	1845
156	2185	2439
62	2185	2439
242	2797	3048
0	2797	3048
59	3411	3683
20	3411	3683
82	4050	4298
134	4050	4298
68	4666	4916
158	4666	4916
119	5281	5475
33	5281	5475
119	5861	6112
90	5861	6112
150	6465	6716
62	6465	6716
146	7222	7470
70	7222	7470
136	7825	8073
80	7825	8073
102	8433	8683
118	8433	8683
124	9031	9281
65	9031	9281
198	9640	9890
9	9640	9890
144	10258	10509
68	10258	10509
140	10888	11143
0	10888	11143
85	11498	11746
131	11498	11746
137	12101	12350
64	12101	12350
120	12710	12958
86	12710	12958
118	13320	13576
85	13320	13576
44	13983	14234
4	13983	14234
123	14552	14809
86	14552	14809
0	15159	15408
218	15159	15408
0	15765	16016
113	15765	16016
20	16371	16621
177	16371	16621
81	17008	17258
121	17008	17258
71	17629	17878
147	17629	17878
54	18689	18938
152	18689	18938
98	370	619
129	370	619
171	962	1210
51	962	1210
159	1567	1822
70	1567	1822
151	2197	2447
59	2197	2447
33	2802	3051
30	2802	3051
103	3412	3661
112	3412	3661
3	4035	4285
227	4035	4285
143	4653	4908
82	4653	4908
143	5270	5518
25	5270	5518
70	5879	6127
141	5879	6127
143	6487	6737
77	6487	6737
116	7099	7347
72	7099	7347
102	7698	7946
101	7698	7946
90	8301	8549
133	8301	8549
215	8932	9181
0	8932	9181
108	9547	9796
99	9547	9796
112	10178	10426
97	10178	10426
67	10869	11124
105	10869	11124
169	11477	11728
57	11477	11728
65	12071	12319
105	12071	12319
92	12687	12942
144	12687	12942
16	13301	13416
77	13301	13416
59	13854	14103
166	13854	14103
213	14462	14711
16	14462	14711
89	15253	15515
127	15253	15515
133	15935	16183
92	15935	16183
185	16539	16789
39	16539	16789
120	17145	17393
98	17145	17393
121	17754	18005
26	17754	18005
73	18365	18650
167	18365	18650
32	701	952
194	701	952
119	1319	1570
101	1319	1570
91	1953	2201
127	1953	2201
136	2608	2862
94	2608	2862
28	3237	3488
197	3237	3488
111	3823	4073
115	3823	4073
192	4433	4682
34	4433	4682
5	5041	5291
229	5041	5291
0	5642	5890
