time	a	b
224	16983	17231
169	17604	17800
169	17604	17800
217	18174	18423
217	18174	18423
228	18793	19042
228	18793	19042
226	303	551
226	303	551
229	944	1193
229	944	1193
209	1578	1827
209	1578	1827
214	2195	2444
214	2195	2444
222	2825	3073
222	2825	3073
203	3456	3706
203	3456	3706
198	4079	4327
198	4079	4327
130	4710	4958
130	4710	4958
230	5336	5584
230	5336	5584
219	5966	6214
219	5966	6214
228	6581	6829
228	6581	6829
232	7213	7462
232	7213	7462
200	7836	8087
200	7836	8087
202	8495	8746
202	8495	8746
86	9149	9266
86	9149	9266
203	9636	9891
203	9636	9891
235	10263	10513
235	10263	10513
232	10887	11136
232	10887	11136
212	11551	11806
212	11551	11806
218	12163	12414
218	12163	12414
157	12851	13101
157	12851	13101
178	13487	13742
178	13487	13742
206	14156	14412
206	14156	14412
245	14798	15053
245	14798	15053
215	15514	15765
215	15514	15765
236	16143	16391
236	16143	16391
225	16752	17001
225	16752	17001
240	17375	17625
240	17375	17625
219	17984	18235
219	17984	18235
234	18612	18867
234	18612	18867
223	379	627
223	379	627
232	1033	1288
232	1033	1288
226	1691	1940
226	1691	1940
214	2328	2577
214	2328	2577
220	2944	3194
220	2944	3194
227	3570	3819
227	3570	3819
232	4185	4435
232	4185	4435
237	4815	5067
237	4815	5067
226	5433	5683
226	5433	5683
237	6113	6363
237	6113	6363
229	6749	6998
229	6749	6998
234	7516	7764
234	7516	7764
230	8147	8395
230	8147	8395
234	8805	9056
234	8805	9056
223	9442	9698
223	9442	9698
213	10089	10339
213	10089	10339
186	10727	10977
186	10727	10977
109	11391	11639
109	11391	11639
214	12014	12265
214	12014	12265
194	12646	12896
194	12646	12896
228	13594	13845
228	13594	13845
214	14237	14485
214	14237	14485
149	14930	15115
149	14930	15115
216	15511	15761
216	15511	15761
235	16145	16395
235	16145	16395
224	16783	17033
224	16783	17033
209	17402	17652
209	17402	17652
212	18052	18301
212	18052	18301
223	18685	18935
223	18685	18935
175	19303	19552
175	19303	19552
224	305	554
224	305	554
226	914	1164
226	914	1164
234	1548	1797
234	1548	1797
229	2247	2496
229	2247	2496
232	2864	3114
232	2864	3114
234	3481	3731
234	3481	3731
237	4112	4362
237	4112	4362
225	4710	4960
225	4710	4960
222	5445	5695
222	5445	5695
231	6052	6302
231	6052	6302
234	7010	7259
234	7010	7259
226	7615	7864
226	7615	7864
226	8277	8527
226	8277	8527
225	8878	9128
225	8878	9128
236	9484	9734
236	9484	9734
229	10088	10337
229	10088	10337
234	10727	10977
234	10727	10977
230	11374	11624
230	11374	11624
232	12000	12249
232	12000	12249
215	12651	12901
215	12651	12901
225	13260	13511
225	13260	13511
218	13879	14129
218	13879	14129
238	14538	14787
238	14538	14787
241	15303	15553
241	15303	15553
223	16058	16307
223	16058	16307
227	16685	16934
227	16685	16934
227	17301	17553
227	17301	17553
175	18131	18324
175	18131	18324
235	18691	18940
235	18691	18940
232	19343	19592
232	19343	19592
227	414	664
227	414	664
215	1113	1363
215	1113	1363
224	1725	1975
224	1725	1975
216	2341	2591
216	2341	2591
228	2943	3192
228	2943	3192
232	3557	3807
232	3557	3807
222	4175	4424
222	4175	4424
231	4786	5041
231	4786	5041
224	5415	5665
224	5415	5665
230	6041	6290
230	6041	6290
232	6643	6893
232	6643	6893
221	7276	7527
221	7276	7527
239	7885	8135
239	7885	8135
260	8573	8853
260	8573	8853
108	9220	9336
108	9220	9336
234	9705	9955
234	9705	9955
238	10321	10571
238	10321	10571
220	10932	11183
220	10932	11183
239	11541	11791
239	11541	11791
231	12174	12429
231	12174	12429
231	12804	13053
231	12804	13053
240	13434	13684
240	13434	13684
207	14099	14349
207	14099	14349
221	14731	14981
221	14731	14981
231	15362	15612
231	15362	15612
233	15974	16224
233	15974	16224
241	16606	16855
241	16606	16855
225	17241	17497
225	17241	17497
225	17890	18140
225	17890	18140
235	18508	18757
235	18508	18757
224	311	561
224	311	561
219	935	1190
219	935	1190
238	1558	1825
238	1558	1825
220	2414	2663
220	2414	2663
234	3022	3271
234	3022	3271
219	4071	4320
219	4071	4320
222	4680	4929
222	4680	4929
227	5284	5535
227	5284	5535
232	5907	6159
232	5907	6159
232	6691	6943
232	6691	6943
235	7298	7549
235	7298	7549
229	7968	8220
229	7968	8220
228	8605	8854
228	8605	8854
219	9210	9459
219	9210	9459
229	9862	10112
229	9862	10112
225	10459	10709
225	10459	10709
226	11443	11698
226	11443	11698
232	12058	12308
232	12058	12308
224	12671	12920
224	12671	12920
233	13278	13527
233	13278	13527
230	13888	14137
230	13888	14137
222	14491	14741
222	14491	14741
159	15147	15331
159	15147	15331
236	15771	16021
