time	a	b
91	1736	1986
30	2395	2647
142	2395	2647
68	3022	3273
43	3022	3273
39	3658	3910
55	3658	3910
173	4410	4659
14	4410	4659
101	5038	5289
18	5038	5289
34	5679	5930
36	5679	5930
129	6328	6579
15	6328	6579
149	6971	7222
12	6971	7222
109	7629	7880
60	7629	7880
37	8310	8561
54	8310	8561
132	8918	9174
60	8918	9174
97	9564	9815
48	9564	9815
98	10199	10450
37	10199	10450
175	19448	19698
0	19448	19698
96	11568	11818
79	11568	11818
123	12247	12433
16	12247	12433
53	13911	14162
56	13911	14162
91	14618	14866
53	14618	14866
144	15248	15498
43	15248	15498
244	15979	16230
1	15979	16230
79	16644	16894
0	16644	16894
104	17330	17581
0	17330	17581
99	17996	18246
38	17996	18246
225	18806	19055
6	18806	19055
175	19448	19698
0	19448	19698
83	20090	20340
30	20090	20340
166	20738	20989
17	20738	20989
39	312	561
126	312	561
53	956	1212
5	956	1212
14	1606	1858
118	1606	1858
21	2272	2521
54	2272	2521
214	2910	3160
13	2910	3160
68	3551	3801
31	3551	3801
72	4189	4438
139	4189	4438
180	4845	5095
4	4845	5095
58	5491	5685
92	5491	5685
53	6071	6320
40	6071	6320
3	6692	6942
29	6692	6942
90	7401	7651
65	7401	7651
8	8032	8281
37	8032	8281
18	8713	8965
7	8713	8965
8	9394	9643
0	9394	9643
5	10054	10303
32	10054	10303
25	10753	11002
37	10753	11002
60	11443	11692
110	11443	11692
11	12109	12357
29	12109	12357
0	12760	13009
0	12760	13009
5	13398	13648
0	13398	13648
53	14027	14276
15	14027	14276
98	14762	15011
43	14762	15011
6	15409	15659
7	15409	15659
67	16083	16333
74	16083	16333
92	16776	17026
48	16776	17026
2	17435	17685
6	17435	17685
7	18093	18342
9	18093	18342
4	18818	19070
22	18818	19070
54	19470	19725
39	19470	19725
81	314	564
156	314	564
122	944	1194
104	944	1194
161	1583	1832
73	1583	1832
145	2240	2490
93	2240	2490
15	2879	3129
120	2879	3129
116	3575	3825
133	3575	3825
20	4215	4464
75	4215	4464
30	4909	5158
105	4909	5158
0	5551	5802
0	5551	5802
61	6286	6536
50	6286	6536
53	6976	7226
50	6976	7226
0	7665	7914
0	7665	7914
0	8344	8593
0	8344	8593
9	9033	9283
42	9033	9283
198	9689	9939
38	9689	9939
0	10368	10617
0	10368	10617
40	18283	18533
3	18283	18533
109	11683	11932
67	11683	11932
15	12324	12510
10	12324	12510
113	12978	13228
114	12978	13228
144	13784	14034
103	13784	14034
136	14422	14672
105	14422	14672
209	15060	15309
32	15060	15309
4	15724	15974
59	15724	15974
196	16365	16615
47	16365	16615
126	17000	17250
123	17000	17250
142	17640	17890
105	17640	17890
40	18283	18533
3	18283	18533
158	18971	19220
64	18971	19220
177	19623	19874
69	19623	19874
3	296	546
179	296	546
48	976	1225
83	976	1225
19	1638	1889
177	1638	1889
75	2301	2550
101	2301	2550
53	2953	3202
68	2953	3202
1	3612	3863
138	3612	3863
41	4274	4522
92	4274	4522
81	4944	5193
132	4944	5193
4	5609	5803
135	5609	5803
63	6221	6470
86	6221	6470
29	6888	7137
57	6888	7137
31	7561	7810
90	7561	7810
24	8231	8480
100	8231	8480
13	8896	9145
134	8896	9145
59	9557	9806
133	9557	9806
43	10224	10474
64	10224	10474
52	10896	11145
63	10896	11145
0	11594	11843
181	11594	11843
46	12256	12507
99	12256	12507
3	12915	13164
92	12915	13164
0	13594	13844
107	13594	13844
13	14309	14558
77	14309	14558
57	14980	15231
104	14980	15231
18	15674	15924
100	15674	15924
3	16353	16602
94	16353	16602
23	17132	17382
96	17132	17382
2	17802	18052
89	17802	18052
9	18473	18725
156	18473	18725
16	19153	19403
48	19153	19403
47	19826	20077
95	19826	20077
194	308	559
48	308	559
70	970	1222
103	970	1222
37	1655	1905
115	1655	1905
208	2388	2638
24	2388	2638
25	3049	3305
114	3049	3305
39	3687	3937
141	3687	3937
10	4355	4605
181	4355	4605
97	5007	5257
103	5007	5257
74	5675	5925
130	5675	5925
11	6378	6627
146	6378	6627
24	7030	7279
141	7030	7279
120	7725	7974
13	7725	7974
51	8440	8689
72	8440	8689
69	9105	9354
64	9105	9354
91	9763	10013
52	9763	10013
40	10425	10675
31	10425	10675
6	11089	11339
98	11089	11339
89	11742	11991
63	11742	11991
20	12409	12661
166	12409	12661
29	13069	13319
167	13069	13319
0	13744	13994
0	13744	13994
0	14388	14505
77	14388	14505
34	14924	15180
178	14924	15180
79	15589	15838
88	15589	15838
64	16243	16492
93	16243	16492
13	16895	17145
76	16895	17145
117	17554	17803
19	17554	17803
19	18218	18470
99	18218	18470
21	18885	19137
98	18885	19137
16	19581	19835
99	19581	19835
100	359	608
133	359	608
96	1029	1279
137	1029	1279
125	1697	1946
102	1697	1946
101	2370	2619
137	2370	2619
15	3071	3322
221	3071	3322
69	3708	3964
165	3708	3964
56	4378	4627
170	4378	4627
96	5092	5341
115	5092	5341
76	5769	6019
149	5769	6019
15	6438	6687
174	6438	6687
0	7111	7360
233	7111	7360
51	7879	8128
148	7879	8128
100	8554	8803
124	8554	8803
103	9209	9458
113	9209	9458
2	9873	10125
241	9873	10125
66	10543	10792
157	10543	10792
9	18876	19126
115	18876	19126
161	11901	12152
42	11901	12152
83	12577	12764
73	12577	12764
8	13182	13431
204	13182	13431
137	13974	14224
56	13974	14224
77	14646	14895
126	14646	14895
43	15462	15711
107	15462	15711
61	16143	16393
124	16143	16393
184	16831	17081
29	16831	17081
64	17496	17748
110	17496	17748
42	18201	18451
169	18201	18451
9	18876	19126
115	18876	19126
0	19543	19793
199	19543	19793
16	20199	20449
214	20199	20449
41	325	577
210	325	577
72	1011	1275
182	1011	1275
5	1696	1945
233	1696	1945
113	2381	2632
118	2381	2632
2	3067	3318
230	3067	3318
1	3815	4064
226	3815	4064
0	4482	4731
227	4482	4731
27	5154	5405
223	5154	5405
1	5844	6095
224	5844	6095
0	6534	6783
0	6534	6783
0	7223	7475
241	7223	7475
190	7983	8234
50	7983	8234
30	8688	8939
209	8688	8939
123	9365	9617
100	9365	9617
0	10047	10298
227	10047	10298
0	10730	10980
238	10730	10980
151	18943	19192
86	18943	19192
108	12121	12371
130	12121	12371
37	12810	13012
149	12810	13012
22	13435	13685
137	13435	13685
58	14116	14367
133	14116	14367
104	14810	15060
113	14810	15060
139	15557	15808
102	15557	15808
33	16260	16510
196	16260	16510
