time	a	b
248	4802	5052
248	4802	5052
104	5445	5640
104	5445	5640
242	6008	6259
242	6008	6259
246	6655	6905
246	6655	6905
248	7423	7673
248	7423	7673
250	8056	8307
250	8056	8307
223	8719	8969
223	8719	8969
233	9577	9827
233	9577	9827
192	10222	10472
192	10222	10472
0	10856	11107
0	10856	11107
144	11487	11737
144	11487	11737
241	12180	12431
241	12180	12431
247	12822	13072
247	12822	13072
239	13466	13716
239	13466	13716
116	14101	14352
116	14101	14352
232	14798	15046
232	14798	15046
224	15429	15679
224	15429	15679
250	16062	16313
250	16062	16313
233	16698	16948
233	16698	16948
249	17357	17607
249	17357	17607
249	18001	18252
249	18001	18252
261	18628	18890
261	18628	18890
248	19257	19506
248	19257	19506
249	284	534
249	284	534
249	893	1144
249	893	1144
250	1529	1780
250	1529	1780
249	2157	2408
249	2157	2408
250	2770	3021
250	2770	3021
250	3393	3644
250	3393	3644
250	4007	4258
250	4007	4258
250	4634	4885
250	4634	4885
0	5277	5525
0	5277	5525
250	5937	6188
250	5937	6188
250	6574	6825
250	6574	6825
216	7234	7484
216	7234	7484
249	7883	8133
249	7883	8133
249	8501	8751
249	8501	8751
250	9188	9439
250	9188	9439
250	9824	10075
250	9824	10075
247	10503	10751
247	10503	10751
235	11131	11381
235	11131	11381
231	11777	12028
231	11777	12028
197	12415	12665
197	12415	12665
250	13070	13321
250	13070	13321
30	14024	14139
30	14024	14139
103	14749	14998
103	14749	14998
239	15523	15772
239	15523	15772
248	16228	16480
248	16228	16480
236	16857	17108
236	16857	17108
250	17484	17735
250	17484	17735
249	18142	18392
249	18142	18392
248	18790	19040
248	18790	19040
166	19423	19674
166	19423	19674
69	408	659
69	408	659
81	1076	1326
81	1076	1326
140	1736	1986
140	1736	1986
173	2395	2647
173	2395	2647
112	3022	3273
112	3022	3273
94	3658	3910
94	3658	3910
187	4410	4659
187	4410	4659
121	5038	5289
121	5038	5289
74	5679	5930
74	5679	5930
144	6328	6579
144	6328	6579
161	6971	7222
161	6971	7222
169	7629	7880
169	7629	7880
91	8310	8561
91	8310	8561
192	8918	9174
192	8918	9174
145	9564	9815
145	9564	9815
135	10199	10450
135	10199	10450
175	19448	19698
175	19448	19698
175	11568	11818
175	11568	11818
140	12247	12433
140	12247	12433
109	13911	14162
109	13911	14162
144	14618	14866
144	14618	14866
187	15248	15498
187	15248	15498
245	15979	16230
245	15979	16230
79	16644	16894
79	16644	16894
104	17330	17581
104	17330	17581
137	17996	18246
137	17996	18246
231	18806	19055
231	18806	19055
175	19448	19698
175	19448	19698
113	20090	20340
113	20090	20340
184	20738	20989
184	20738	20989
166	312	561
166	312	561
58	956	1212
58	956	1212
132	1606	1858
132	1606	1858
79	2272	2521
79	2272	2521
240	2910	3160
240	2910	3160
99	3551	3801
99	3551	3801
220	4189	4438
220	4189	4438
209	4845	5095
209	4845	5095
157	5491	5685
157	5491	5685
96	6071	6320
96	6071	6320
60	6692	6942
60	6692	6942
163	7401	7651
163	7401	7651
46	8032	8281
46	8032	8281
32	8713	8965
32	8713	8965
8	9394	9643
8	9394	9643
46	10054	10303
46	10054	10303
85	10753	11002
85	10753	11002
178	11443	11692
178	11443	11692
42	12109	12357
42	12109	12357
0	12760	13009
0	12760	13009
5	13398	13648
5	13398	13648
90	14027	14276
90	14027	14276
168	14762	15011
168	14762	15011
43	15409	15659
43	15409	15659
178	16083	16333
178	16083	16333
144	16776	17026
144	16776	17026
22	17435	17685
22	17435	17685
33	18093	18342
33	18093	18342
44	18818	19070
44	18818	19070
106	19470	19725
106	19470	19725
237	314	564
237	314	564
228	944	1194
228	944	1194
234	1583	1832
234	1583	1832
238	2240	2490
238	2240	2490
135	2879	3129
135	2879	3129
249	3575	3825
249	3575	3825
95	4215	4464
95	4215	4464
135	4909	5158
135	4909	5158
62	5551	5802
62	5551	5802
111	6286	6536
111	6286	6536
103	6976	7226
103	6976	7226
0	7665	7914
0	7665	7914
0	8344	8593
0	8344	8593
59	9033	9283
59	9033	9283
240	9689	9939
240	9689	9939
0	10368	10617
0	10368	10617
112	18283	18533
112	18283	18533
215	11683	11932
215	11683	11932
30	12324	12510
30	12324	12510
229	12978	13228
229	12978	13228
248	13784	14034
248	13784	14034
247	14422	14672
247	14422	14672
241	15060	15309
241	15060	15309
85	15724	15974
85	15724	15974
244	16365	16615
244	16365	16615
249	17000	17250
249	17000	17250
248	17640	17890
248	17640	17890
112	18283	18533
112	18283	18533
224	18971	19220
224	18971	19220
246	19623	19874
246	19623	19874
182	296	546
182	296	546
131	976	1225
131	976	1225
196	1638	1889
196	1638	1889
176	2301	2550
176	2301	2550
121	2953	3202
121	2953	3202
139	3612	3863
139	3612	3863
133	4274	4522
133	4274	4522
214	4944	5193
214	4944	5193
141	5609	5803
141	5609	5803
150	6221	6470
150	6221	6470
87	6888	7137
87	6888	7137
126	7561	7810
126	7561	7810
124	8231	8480
124	8231	8480
148	8896	9145
148	8896	9145
193	9557	9806
193	9557	9806
107	10224	10474
107	10224	10474
116	10896	11145
116	10896	11145
181	11594	11843
181	11594	11843
145	12256	12507
145	12256	12507
95	12915	13164
95	12915	13164
107	13594	13844
107	13594	13844
90	14309	14558
90	14309	14558
163	14980	15231
163	14980	15231
118	15674	15924
118	15674	15924
97	16353	16602
97	16353	16602
120	17132	17382
120	17132	17382
92	17802	18052
92	17802	18052
167	18473	18725
167	18473	18725
68	19153	19403
68	19153	19403
144	19826	20077
144	19826	20077
242	308	559
242	308	559
173	970	1222
173	970	1222
152	1655	1905
152	1655	1905
232	2388	2638
232	2388	2638
140	3049	3305
140	3049	3305
182	3687	3937
182	3687	3937
194	4355	4605
194	4355	4605
201	5007	5257
201	5007	5257
204	5675	5925
204	5675	5925
158	6378	6627
158	6378	6627
166	7030	7279
166	7030	7279
134	7725	7974
134	7725	7974
125	8440	8689
125	8440	8689
133	9105	9354
133	9105	9354
143	9763	10013
143	9763	10013
71	10425	10675
71	10425	10675
104	11089	11339
104	11089	11339
152	11742	11991
152	11742	11991
186	12409	12661
186	12409	12661
196	13069	13319
196	13069	13319
0	13744	13994
0	13744	13994
77	14388	14505
77	14388	14505
212	14924	15180
212	14924	15180
167	15589	15838
167	15589	15838
157	16243	16492
157	16243	16492
89	16895	17145
89	16895	17145
137	17554	17803
137	17554	17803
118	18218	18470
118	18218	18470
119	18885	19137
119	18885	19137
115	19581	19835
115	19581	19835
233	359	608
233	359	608
233	1029	1279
233	1029	1279
227	1697	1946
227	1697	1946
238	2370	2619
238	2370	2619
236	3071	3322
236	3071	3322
234	3708	3964
234	3708	3964
226	4378	4627
226	4378	4627
211	5092	5341
211	5092	5341
226	5769	6019
226	5769	6019
189	6438	6687
189	6438	6687
233	7111	7360
233	7111	7360
199	7879	8128
199	7879	8128
224	8554	8803
224	8554	8803
218	9209	9458
218	9209	9458
243	9873	10125
243	9873	10125
223	10543	10792
223	10543	10792
125	18876	19126
125	18876	19126
203	11901	12152
203	11901	12152
156	12577	12764
156	12577	12764
213	13182	13431
213	13182	13431
194	13974	14224
194	13974	14224
203	14646	14895
203	14646	14895
150	15462	15711
150	15462	15711
186	16143	16393
186	16143	16393
214	16831	17081
214	16831	17081
178	17496	17748
178	17496	17748
211	18201	18451
211	18201	18451
125	18876	19126
125	18876	19126
199	19543	19793
199	19543	19793
231	20199	20449
231	20199	20449
251	325	577
251	325	577
254	1011	1275
254	1011	1275
238	1696	1945
238	1696	1945
232	2381	2632
232	2381	2632
235	3067	3318
235	3067	3318
228	3815	4064
228	3815	4064
227	4482	4731
227	4482	4731
250	5154	5405
250	5154	5405
226	5844	6095
226	5844	6095
0	6534	6783
0	6534	6783
241	7223	7475
241	7223	7475
